Round No,GATE Rank,GATE Score,GATE Normalized Marks,M.Tech course work offers if received in this round - Please mention course name too,Decision for this round,Offer selected to accept or retain
Round 1,6,1000,98.80,IISc Bangalore — MTech Computer Science and Automation,Accept and Freeze,IISc Bangalore — MTech Computer Science and Automation
Round 1,7,1000,98.80,IISc Bangalore — MTech Computer Science and Automation,Accept and Freeze,IISc Bangalore — MTech Computer Science and Automation
Round 1,8,1000,98.80,IISc Bangalore — MTech Computer Science and Automation,Accept and Freeze,IISc Bangalore — MTech Computer Science and Automation
Round 1,12,1000,88.33,IISc Bangalore — MTech Computer Science and Automation,Accept and Freeze,IISc Bangalore — MTech Computer Science and Automation
Round 1,1,1000,95.00,IISc Bangalore — MTech Computer Science and Automation,Accept and Freeze,No Offer
Round 1,18,988,86.00,"IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship)
IISc Bangalore — MTech Computer Science and Automation
IIT Delhi — MTech Computer Science and Engineering (Teaching Assistantship)",Accept and Freeze,IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship)
Round 1,22,983,84.10,No Offer,Accept and Freeze,IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship)
Round 1,24,975,96.00,"IISc Bangalore — MTech Computer Science and Engineering
IIT Madras — MTech Computer Science and Engineering (Half-Time Teaching Assistantship)",Accept and Freeze,IIT Madras — MTech Computer Science and Engineering (Half-Time Teaching Assistantship)
Round 1,30,960,82.40,"IISc Bangalore — MTech Computer Science and Engineering
IIT Madras — MTech Computer Science and Engineering
IIT Bombay — MTech Computer Science and Engineering",Accept and Freeze,No Offer
Round 1,31,956,81.82,"IISc Bangalore — MTech Computer Science and Automation
IIT Bombay — MTech Computer Science and Engineering
IIT Madras — MTech Computer Science and Engineering",Accept and Freeze,IISc Bangalore — MTech Computer Science and Automation
Round 1,35,948,81.17,"IISc Bangalore — MTech Computer Science and Automation
IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship)
IIT Madras — MTech Computer Science and Engineering (Teaching Assistantship)",Accept and Freeze,IISc Bangalore — MTech Computer Science and Automation
Round 1,39,940,97.06,"IISc Bangalore — MTech Computer Science and Automation
IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship)
IIT Madras — MTech Computer Science and Engineering (Half-Time Teaching Assistantship)",Accept and Freeze,IIT Bombay
Round 1,61,912,93.92,IISc Bangalore — MTech Computer Science and Automation,Accept and Freeze,IISc Bangalore — MTech Computer Science and Automation
Round 1,67,908,77.69,IIT Kanpur — MTech Computer Science and Engineering,Retain and Wait,IIT Kanpur
Round 1,70,904,93.02,"IIT Kanpur — MTech Computer Science and Engineering
IIT Kharagpur — MTech Computer Science and Engineering
IIT Madras — MTech IMSC",Retain and Wait,IIT Kanpur — MTech Computer Science and Engineering
Round 1,75,903,92.91,No Offer,Retain and Wait,IIT Kanpur — MTech Computer Science and Engineering
Round 1,77,900,92.57,IIT Hyderabad — MTech Computer Science and Engineering (Teaching Assistantship),Retain and Wait,IIT Hyderabad — MTech Computer Science and Engineering (Teaching Assistantship)
Round 1,77,900,92.57,IIT Guwahati — MTech Computer Science and Engineering (Teaching Assistantship),Retain and Wait,IIT Guwahati — MTech Computer Science and Engineering (Teaching Assistantship)
Round 1,85,899,76.94,"IISc Bangalore — MTech Computational and Data Science
IIT Kanpur — MTech Computer Science and Engineering",Retain and Wait,IISc Bangalore — MTech Computational and Data Science
