GATE Rank,GATE Normalized Marks,GATE Score,GATE Branch,GATE Year,Category,M.Tech course work offers if received in this round - Please mention course name too,Decision for this round,Offer selected to accept or retain,Research offers if received in this round - Please mention specialization too,Decisions for research offers,"Have you received offer from any other college? IIITs, etc.? Please mention all of them",Decisions for all colleges in the question above,Other courses that you have applied for apart from all above,GATE Paper Set
6,,1000,CSE,2026,GEN,CSA@IISc,Accept and Freeze,CSA@IISc,None,NA,None,NA,None,
7,,1000,CSE,2026,GEN,CSA IISC,Accept and Freeze,CSA IISC,,,,,,
8,,1000,CSE,2026,GEN,IISc CSA,Accept and Freeze,IISc CSA,Na,Na,"IITB cse , IITM cse ",,,
12,88.33,1000,CSE,2026,GEN,IISc MTech CSA,Accept and Freeze,IISc MTech CSA,,,,,,Set 2
18,86,988,CSE,2026,GEN,"IIT Bombay MTech CS (TA)
IISc MTech CSA
IIT Delhi MTech CS (TA)",Accept and Freeze,IIT Bombay MTech CS (TA),,,,,,Set 2
22,84.1,983,CSE,2026,GEN,,Accept and Freeze,IIT Bombay MTech CS (TA),,,,,,Set 1
24,,975,CSE,2026,GEN,"IISC MTECH CSE
IIT MADRAS MTECH CSE(HTTA)",Accept and Freeze,IIT MADRAS CSE(HTTA),,,,,,
30,,960,CSE,2026,GEN,"IISC,IITM,IITB(all computer science and engineering)",Accept and Freeze,,,,,,,
31,81.82,956,CSE,2026,GEN,"IISc MTech CSA
IITB MTech CSE
IITM MTech CSE",Accept and Freeze,IISc Bangalore MTech CSA,,,,,,Set 1
35,81.17,948,CSE,2026,GEN,"1. IISc MTech CSA 
2. IIT Bombay MTech CS (TA) 
3. IIT Madras MTech CS (TA)",Accept and Freeze,IISc MTech CSA,,,,,,Set 2
39,,940,CSE,2026,GEN,"IISc (CSA), IIT B CS (TA),  IIT M CS (HTTA)",Accept and Freeze,IIT B,,,,,IIT D CS,
61,,912,CSE,2026,GEN,IISC CSA,Accept and Freeze,iisc csa,NA,NA,NA,NA,iitb iitm,
67,77.69,908,CSE,2026,GEN,1. IIT Kanpur Mtech CSE,Retain and Wait,IIT Kanpur,,,,,"1.IISC CSE
2. IITM CSE
3. IITB CSE",Set 2
70,,904,CSE,2026,GEN,"IITK CS, IITKGP CS, IITM (IMSC)",Retain and Wait,IITK CS,,,,,,
75,,903,CSE,2026,GEN,,Retain and Wait,IIT Kanpur CSE,,,,,,
77,,900,CSE,2026,GEN,IITH TA CS,Retain and Wait,IITH TA CS,,,,Retain and wait,"IITB TA, IITM TA, IISc CSA, IISc CDS, IITD TA ",
77,,900,CSE,2026,GEN,IITG CSE(TA),Retain and Wait,IITG CSE TA,,,,,"IISC CSA, IITB(TA), IITM , IITD",
85,76.94,899,CSE,2026,GEN,"IISc CDS
IIT K CS",Retain and Wait,IISc CDS,,,,,"IISc CSA
IIT (B|M|D) CS
IIT B CS(RA)",Set 1
85,,899,CSE,2026,GEN,Iit kanpur cse,Retain and Wait,,,,,,,
